Feature,SCR_Importance,EM_Importance,Combined_Importance
ZSK1,0.5802588,0.2458887,0.41307375
ZSK2,0.018768284,0.02836063,0.023564458
ZSK3,0.00866321,0.009600412,0.009131812
Vola4,0.037704233,0.09673194,0.06721809
Vola5,0.008405898,0.018303862,0.01335488
Vola6,0.067297705,0.2345366,0.15091716
Verlust7,0.05030923,0.031435113,0.04087217
Verlust8,0.05339457,0.039374452,0.046384513
MR9,0.008628427,0.023783755,0.016206091
MR10,0.013403632,0.032418977,0.022911305
MR11,0.030710468,0.034552544,0.032631505
MR12,0.0056714625,0.017563751,0.0116176065
MR13,0.0072540925,0.0077551063,0.007504599
MR14,0.008870149,0.012873168,0.010871658
MR15,0.03383468,0.055324845,0.044579763
MR16,0.016320568,0.03521224,0.025766404
MR17,0.015232822,0.0128367515,0.014034787
MR18,0.01126405,0.021219546,0.016241798
MR19,0.0051114466,0.016527925,0.010819686
MR20,0.018896196,0.025699776,0.022297986
