Feature,Total_Importance
ZSK1,770416355.6551626
Vola6,530764465.2594498
Vola4,358066600.9551382
Verlust8,212829431.7096806
Verlust7,202173433.67987865
ZSK2,183631445.48754865
Vola5,159057541.6891371
MR11,120026190.91509068
MR15,102699320.02371167
MR16,99403696.36376297
MR9,97912460.57538469
MR20,83822274.56750731
ZSK3,78245444.66001096
MR19,67621515.3116086
MR14,64089668.341877185
MR17,62003435.17312742
MR18,59237193.02220105
MR10,53218755.046842046
MR12,51927972.71160249
MR13,50166860.501285255
