Feature,Total_Importance,SCR_Importance,EM_Importance
ZSK1,0.0041658846661448475,0.008666245639324189,-0.0003344763070344925
Vola6,0.0011129315942525863,-0.00026955753564834596,0.0024954207241535188
Vola4,0.0008345149457454681,0.0008337438106536865,0.0008352860808372497
Verlust7,0.0003523416817188263,0.00036795735359191896,0.00033672600984573363
ZSK2,0.00010031946003437042,0.0001850023865699768,1.5636533498764037e-05
Verlust8,9.362287819385529e-05,-0.00011378377676010131,0.0003010295331478119
MR16,8.170045912265777e-05,7.647275924682617e-05,8.692815899848937e-05
MR19,7.277820259332657e-05,0.00016985833644866943,-2.4301931262016296e-05
MR18,6.205346435308456e-05,0.00013601183891296387,-1.1904910206794738e-05
Vola5,3.2827630639076234e-05,-1.6833841800689698e-05,8.248910307884216e-05
MR17,2.0523183047771453e-05,2.305060625076294e-05,1.7995759844779968e-05
ZSK3,2.0266696810722352e-05,7.696449756622314e-06,3.283694386482239e-05
MR12,1.5433132648468018e-05,1.1667609214782714e-06,2.9699504375457762e-05
MR15,1.5045329928398132e-05,2.3277103900909422e-05,6.813555955886841e-06
MR20,1.3370998203754425e-05,3.3693015575408934e-05,-6.951019167900086e-06
MR11,4.346668720245361e-06,0.00013460218906402588,-0.00012590885162353516
MR9,4.209950566291809e-06,-2.3905932903289794e-05,3.232583403587341e-05
MR10,3.816746175289154e-06,2.0907819271087645e-05,-1.3274326920509339e-05
MR14,-1.7001666128635408e-05,2.1335482597351074e-05,-5.5338814854621886e-05
MR13,-2.457704395055771e-05,1.373887062072754e-06,-5.052797496318817e-05
