Feature,Total_Importance
ZSK1,519195248.3233333
Verlust8,167845856.41388932
Vola6,159502322.65328172
Verlust7,152116289.14553228
Vola4,124391959.38473348
ZSK2,74381063.41368687
MR11,69446262.98826858
ZSK3,45528510.28294388
Vola5,40339017.501870416
MR16,38833664.72104835
MR18,38811771.076455384
MR15,36214578.201101646
MR9,35461712.810021915
MR20,33173656.710295115
MR17,29666575.50811358
MR13,28384321.40067047
MR19,25443305.923863288
MR14,24594452.49701227
MR10,20146929.33237148
MR12,17701486.931924447
